trajectory_id,method,seed,candidate_stage,rep,stress,year,action_id,edit_type,K,underwriting_result,loss_total,mu_hat_total,reward,discount,psi_z,psi_p,c_zonal,gamma_p,z_delta,decision_cost
30900041,Static Zoning,1010,0,41,historical,2025,KEEP|PRICE=0,KEEP,96,981314.1551527828,18475090.466550626,18015189.464540195,943661.1277014897,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900042,Static Zoning,1010,0,42,historical,2021,KEEP|PRICE=0,KEEP,96,2442459.145458434,16794589.7968255,17812082.353966605,2408037.7409444526,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30900042,Static Zoning,1010,0,42,historical,2022,KEEP|PRICE=0,KEEP,96,4091938.0315304287,15195934.154361784,17859140.91286316,4056353.92540909,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900042,Static Zoning,1010,0,42,historical,2023,KEEP|PRICE=0,KEEP,96,2162699.4889287427,17333929.542031337,18052434.287926,2124898.8855504575,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900042,Static Zoning,1010,0,42,historical,2024,KEEP|PRICE=0,KEEP,96,2768736.3225742187,16755544.15832966,18078037.482318405,2731998.7315878854,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900042,Static Zoning,1010,0,42,historical,2025,KEEP|PRICE=0,KEEP,96,431014.24462243915,19025390.37708097,18015189.464540195,393361.21717114607,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900043,Static Zoning,1010,0,43,historical,2021,KEEP|PRICE=0,KEEP,96,1312894.4117213897,17924154.530562542,17812082.353966605,1278473.0072074088,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30900043,Static Zoning,1010,0,43,historical,2022,KEEP|PRICE=0,KEEP,96,-1426876.186821036,20714748.37271325,17859140.91286316,-1462460.292942375,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900043,Static Zoning,1010,0,43,historical,2023,KEEP|PRICE=0,KEEP,96,-707540.3859774433,20204169.416937523,18052434.287926,-745340.9893557286,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900043,Static Zoning,1010,0,43,historical,2024,KEEP|PRICE=0,KEEP,96,-477112.59595641494,20001393.076860294,18078037.482318405,-513850.1869427485,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900043,Static Zoning,1010,0,43,historical,2025,KEEP|PRICE=0,KEEP,96,1361114.4336139113,18095290.188089497,18015189.464540195,1323461.4061626182,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900044,Static Zoning,1010,0,44,historical,2021,KEEP|PRICE=0,KEEP,96,1346343.7762193792,17890705.166064553,17812082.353966605,1311922.3717053982,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30900044,Static Zoning,1010,0,44,historical,2022,KEEP|PRICE=0,KEEP,96,948299.8864636943,18339572.29942852,17859140.91286316,912715.7803423555,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900044,Static Zoning,1010,0,44,historical,2023,KEEP|PRICE=0,KEEP,96,1388069.992324356,18108559.038635723,18052434.287926,1350269.3889460706,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900044,Static Zoning,1010,0,44,historical,2024,KEEP|PRICE=0,KEEP,96,943946.7310729548,18580333.749830924,18078037.482318405,907209.1400866213,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900044,Static Zoning,1010,0,44,historical,2025,KEEP|PRICE=0,KEEP,96,1527509.8001455367,17928894.821557872,18015189.464540195,1489856.7726942436,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900045,Static Zoning,1010,0,45,historical,2021,KEEP|PRICE=0,KEEP,96,954302.7736249417,18282746.16865899,17812082.353966605,919881.3691109606,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30900045,Static Zoning,1010,0,45,historical,2022,KEEP|PRICE=0,KEEP,96,3699085.856704492,15588786.329187721,17859140.91286316,3663501.750583153,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900045,Static Zoning,1010,0,45,historical,2023,KEEP|PRICE=0,KEEP,96,1600396.8695672527,17896232.161392827,18052434.287926,1562596.2661889673,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900045,Static Zoning,1010,0,45,historical,2024,KEEP|PRICE=0,KEEP,96,2448476.875129368,17075803.60577451,18078037.482318405,2411739.284143035,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900045,Static Zoning,1010,0,45,historical,2025,KEEP|PRICE=0,KEEP,96,1506479.284521222,17949925.337182187,18015189.464540195,1468826.257069929,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900046,Static Zoning,1010,0,46,historical,2021,KEEP|PRICE=0,KEEP,96,1059336.1956589706,18177712.74662496,17812082.353966605,1024914.7911449895,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30900046,Static Zoning,1010,0,46,historical,2022,KEEP|PRICE=0,KEEP,96,3355857.9554605894,15932014.230431624,17859140.91286316,3320273.8493392505,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900046,Static Zoning,1010,0,46,historical,2023,KEEP|PRICE=0,KEEP,96,2867970.2616466004,16628658.769313479,18052434.287926,2830169.6582683153,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900046,Static Zoning,1010,0,46,historical,2024,KEEP|PRICE=0,KEEP,96,663192.3161272444,18861088.164776634,18078037.482318405,626454.7251409108,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900046,Static Zoning,1010,0,46,historical,2025,KEEP|PRICE=0,KEEP,96,647245.4222307205,18809159.19947269,18015189.464540195,609592.3947794274,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900047,Static Zoning,1010,0,47,historical,2021,KEEP|PRICE=0,KEEP,96,4190705.6432072446,15046343.299076688,17812082.353966605,4156284.2386932634,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30900047,Static Zoning,1010,0,47,historical,2022,KEEP|PRICE=0,KEEP,96,2625627.7556359693,16662244.430256244,17859140.91286316,2590043.6495146304,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900047,Static Zoning,1010,0,47,historical,2023,KEEP|PRICE=0,KEEP,96,2307132.382572528,17189496.64838755,18052434.287926,2269331.779194243,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900047,Static Zoning,1010,0,47,historical,2024,KEEP|PRICE=0,KEEP,96,5335219.193284424,14189061.287619455,18078037.482318405,5298481.60229809,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900047,Static Zoning,1010,0,47,historical,2025,KEEP|PRICE=0,KEEP,96,2116825.718706209,17339578.9029972,18015189.464540195,2079172.6912549161,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900048,Static Zoning,1010,0,48,historical,2021,KEEP|PRICE=0,KEEP,96,3452220.93799166,15784828.004292272,17812082.353966605,3417799.533477679,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30900048,Static Zoning,1010,0,48,historical,2022,KEEP|PRICE=0,KEEP,96,3725617.002926033,15562255.18296618,17859140.91286316,3690032.896804694,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900048,Static Zoning,1010,0,48,historical,2023,KEEP|PRICE=0,KEEP,96,-359892.0235018581,19856521.054461937,18052434.287926,-397692.6268801435,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900048,Static Zoning,1010,0,48,historical,2024,KEEP|PRICE=0,KEEP,96,-1420737.8467217349,20945018.327625614,18078037.482318405,-1457475.4377080684,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900048,Static Zoning,1010,0,48,historical,2025,KEEP|PRICE=0,KEEP,96,2113965.5556205288,17342439.06608288,18015189.464540195,2076312.5281692357,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900049,Static Zoning,1010,0,49,historical,2021,KEEP|PRICE=0,KEEP,96,1272616.9288525581,17964432.013431374,17812082.353966605,1238195.5243385772,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30900049,Static Zoning,1010,0,49,historical,2022,KEEP|PRICE=0,KEEP,96,1982442.9823564105,17305429.203535803,17859140.91286316,1946858.8762350716,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900049,Static Zoning,1010,0,49,historical,2023,KEEP|PRICE=0,KEEP,96,2476738.8706722073,17019890.160287872,18052434.287926,2438938.267293922,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900049,Static Zoning,1010,0,49,historical,2024,KEEP|PRICE=0,KEEP,96,1920386.9120441899,17603893.56885969,18078037.482318405,1883649.3210578563,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900049,Static Zoning,1010,0,49,historical,2025,KEEP|PRICE=0,KEEP,96,3133071.0770626925,16323333.544640716,18015189.464540195,3095418.0496113994,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900050,Static Zoning,1010,0,50,historical,2021,KEEP|PRICE=0,KEEP,96,2036851.6812223606,17200197.26106157,17812082.353966605,2002430.2767083796,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30900050,Static Zoning,1010,0,50,historical,2022,KEEP|PRICE=0,KEEP,96,2275208.540408507,17012663.645483706,17859140.91286316,2239624.434287168,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900050,Static Zoning,1010,0,50,historical,2023,KEEP|PRICE=0,KEEP,96,1614534.232998982,17882094.797961097,18052434.287926,1576733.6296206967,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900050,Static Zoning,1010,0,50,historical,2024,KEEP|PRICE=0,KEEP,96,1893669.3223374784,17630611.1585664,18078037.482318405,1856931.7313511448,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900050,Static Zoning,1010,0,50,historical,2025,KEEP|PRICE=0,KEEP,96,3076002.72628182,16380401.895421589,18015189.464540195,3038349.698830527,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900051,Static Zoning,1010,0,51,historical,2021,KEEP|PRICE=0,KEEP,96,2574750.592576666,16662298.349707266,17812082.353966605,2540329.1880626846,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30900051,Static Zoning,1010,0,51,historical,2022,KEEP|PRICE=0,KEEP,96,318783.3167223707,18969088.869169842,17859140.91286316,283199.21060103184,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900051,Static Zoning,1010,0,51,historical,2023,KEEP|PRICE=0,KEEP,96,482669.48669524863,19013959.54426483,18052434.287926,444868.88331696327,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900051,Static Zoning,1010,0,51,historical,2024,KEEP|PRICE=0,KEEP,96,1573128.9246474765,17951151.556256402,18078037.482318405,1536391.333661143,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900051,Static Zoning,1010,0,51,historical,2025,KEEP|PRICE=0,KEEP,96,779606.9343951494,18676797.68730826,18015189.464540195,741953.9069438563,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900052,Static Zoning,1010,0,52,historical,2021,KEEP|PRICE=0,KEEP,96,1756496.474166531,17480552.4681174,17812082.353966605,1722075.0696525502,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30900052,Static Zoning,1010,0,52,historical,2022,KEEP|PRICE=0,KEEP,96,2348216.8891279735,16939655.29676424,17859140.91286316,2312632.7830066346,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900052,Static Zoning,1010,0,52,historical,2023,KEEP|PRICE=0,KEEP,96,810976.2664664276,18685652.76449365,18052434.287926,773175.6630881423,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900052,Static Zoning,1010,0,52,historical,2024,KEEP|PRICE=0,KEEP,96,390989.42924081534,19133291.051663063,18078037.482318405,354251.8382544818,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900052,Static Zoning,1010,0,52,historical,2025,KEEP|PRICE=0,KEEP,96,872188.1884208471,18584216.43328256,18015189.464540195,834535.160969554,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
