trajectory_id,method,seed,rep,stress,G0,selected_stage,adverse_return
30000075,Static Zoning,101,75,historical,4024350.0910676103,0,-4024350.0910676103
30000076,Static Zoning,101,76,historical,4868035.465917576,0,-4868035.465917576
30000077,Static Zoning,101,77,historical,6374455.678550299,0,-6374455.678550299
30000078,Static Zoning,101,78,historical,7577851.897024255,0,-7577851.897024255
30000079,Static Zoning,101,79,historical,7804022.159099452,0,-7804022.159099452
30000080,Static Zoning,101,80,historical,6693738.604978139,0,-6693738.604978139
30000081,Static Zoning,101,81,historical,8775461.57161713,0,-8775461.57161713
30000082,Static Zoning,101,82,historical,11320640.992974753,0,-11320640.992974753
30000083,Static Zoning,101,83,historical,5017812.876138108,0,-5017812.876138108
30000084,Static Zoning,101,84,historical,5321369.62569914,0,-5321369.62569914
30000085,Static Zoning,101,85,historical,7699302.626731592,0,-7699302.626731592
30000086,Static Zoning,101,86,historical,11493734.42383318,0,-11493734.42383318
30000087,Static Zoning,101,87,historical,1923546.1087976908,0,-1923546.1087976908
30000088,Static Zoning,101,88,historical,7466916.745444818,0,-7466916.745444818
30000089,Static Zoning,101,89,historical,2666481.5284543317,0,-2666481.5284543317
30000090,Static Zoning,101,90,historical,3725984.044794089,0,-3725984.044794089
30000091,Static Zoning,101,91,historical,2267771.8052274254,0,-2267771.8052274254
30000092,Static Zoning,101,92,historical,1656111.0298474694,0,-1656111.0298474694
30000093,Static Zoning,101,93,historical,4035521.4496473763,0,-4035521.4496473763
30000094,Static Zoning,101,94,historical,5385348.765091261,0,-5385348.765091261
30000095,Static Zoning,101,95,historical,11223111.05653857,0,-11223111.05653857
30000096,Static Zoning,101,96,historical,6601331.375388943,0,-6601331.375388943
30000097,Static Zoning,101,97,historical,6557134.492329815,0,-6557134.492329815
30000098,Static Zoning,101,98,historical,6051204.254522531,0,-6051204.254522531
30000099,Static Zoning,101,99,historical,11794060.905887334,0,-11794060.905887334
30000000,Mean DQN,101,0,historical,7837195.577372676,3,-7837195.577372676
30000001,Mean DQN,101,1,historical,7175655.685187643,3,-7175655.685187643
30000002,Mean DQN,101,2,historical,8199353.079838734,3,-8199353.079838734
30000003,Mean DQN,101,3,historical,9150289.934037637,3,-9150289.934037637
30000004,Mean DQN,101,4,historical,3520855.586563744,3,-3520855.586563744
30000005,Mean DQN,101,5,historical,4526427.52463164,3,-4526427.52463164
30000006,Mean DQN,101,6,historical,3098823.141647499,3,-3098823.141647499
30000007,Mean DQN,101,7,historical,4686386.427570856,3,-4686386.427570856
30000008,Mean DQN,101,8,historical,5148647.720893177,3,-5148647.720893177
30000009,Mean DQN,101,9,historical,6527478.514306828,3,-6527478.514306828
30000010,Mean DQN,101,10,historical,10101295.166373415,3,-10101295.166373415
30000011,Mean DQN,101,11,historical,8698545.746222915,3,-8698545.746222915
30000012,Mean DQN,101,12,historical,6138020.566979836,3,-6138020.566979836
30000013,Mean DQN,101,13,historical,7046818.910761629,3,-7046818.910761629
30000014,Mean DQN,101,14,historical,10461436.413294505,3,-10461436.413294505
30000015,Mean DQN,101,15,historical,-1053430.0660290394,3,1053430.0660290394
30000016,Mean DQN,101,16,historical,2606308.7539979005,3,-2606308.7539979005
30000017,Mean DQN,101,17,historical,4563765.969894087,3,-4563765.969894087
30000018,Mean DQN,101,18,historical,6942223.319789929,3,-6942223.319789929
30000019,Mean DQN,101,19,historical,10997041.867338289,3,-10997041.867338289
30000020,Mean DQN,101,20,historical,5455843.817490564,3,-5455843.817490564
30000021,Mean DQN,101,21,historical,2342499.002836163,3,-2342499.002836163
30000022,Mean DQN,101,22,historical,6995310.852802478,3,-6995310.852802478
30000023,Mean DQN,101,23,historical,12520783.43505439,3,-12520783.43505439
30000024,Mean DQN,101,24,historical,8763808.673883352,3,-8763808.673883352
30000025,Mean DQN,101,25,historical,14831649.28084124,3,-14831649.28084124
30000026,Mean DQN,101,26,historical,8198428.199286662,3,-8198428.199286662
30000027,Mean DQN,101,27,historical,7163249.89155627,3,-7163249.89155627
30000028,Mean DQN,101,28,historical,4403615.281243089,3,-4403615.281243089
30000029,Mean DQN,101,29,historical,2455149.765285912,3,-2455149.765285912
30000030,Mean DQN,101,30,historical,11558714.43917424,3,-11558714.43917424
30000031,Mean DQN,101,31,historical,7517468.464796956,3,-7517468.464796956
30000032,Mean DQN,101,32,historical,4955046.025783302,3,-4955046.025783302
30000033,Mean DQN,101,33,historical,13991782.155814067,3,-13991782.155814067
30000034,Mean DQN,101,34,historical,10721620.471863309,3,-10721620.471863309
30000035,Mean DQN,101,35,historical,5990986.3275135,3,-5990986.3275135
30000036,Mean DQN,101,36,historical,7351035.15115972,3,-7351035.15115972
30000037,Mean DQN,101,37,historical,7130339.610313383,3,-7130339.610313383
30000038,Mean DQN,101,38,historical,5713297.79511538,3,-5713297.79511538
30000039,Mean DQN,101,39,historical,13956371.682515394,3,-13956371.682515394
30000040,Mean DQN,101,40,historical,2562614.0783441,3,-2562614.0783441
30000041,Mean DQN,101,41,historical,3589828.137709442,3,-3589828.137709442
30000042,Mean DQN,101,42,historical,5957660.251925109,3,-5957660.251925109
30000043,Mean DQN,101,43,historical,9280642.70509261,3,-9280642.70509261
30000044,Mean DQN,101,44,historical,8322351.476622076,3,-8322351.476622076
30000045,Mean DQN,101,45,historical,7153169.166831457,3,-7153169.166831457
30000046,Mean DQN,101,46,historical,9365472.267260622,3,-9365472.267260622
30000047,Mean DQN,101,47,historical,11191706.982039394,3,-11191706.982039394
30000048,Mean DQN,101,48,historical,8058916.2783653615,3,-8058916.2783653615
30000049,Mean DQN,101,49,historical,7977312.623532867,3,-7977312.623532867
30000050,Mean DQN,101,50,historical,6633034.928482144,3,-6633034.928482144
30000051,Mean DQN,101,51,historical,6861036.5748041505,3,-6861036.5748041505
30000052,Mean DQN,101,52,historical,3614401.4597764565,3,-3614401.4597764565
30000053,Mean DQN,101,53,historical,6213845.252517357,3,-6213845.252517357
30000054,Mean DQN,101,54,historical,7483160.760692475,3,-7483160.760692475
30000055,Mean DQN,101,55,historical,8239319.4909909675,3,-8239319.4909909675
30000056,Mean DQN,101,56,historical,2275283.0775643503,3,-2275283.0775643503
30000057,Mean DQN,101,57,historical,4249013.913526207,3,-4249013.913526207
30000058,Mean DQN,101,58,historical,6849720.419773729,3,-6849720.419773729
30000059,Mean DQN,101,59,historical,8225566.769927625,3,-8225566.769927625
30000060,Mean DQN,101,60,historical,10029650.694440765,3,-10029650.694440765
30000061,Mean DQN,101,61,historical,8737126.015263962,3,-8737126.015263962
30000062,Mean DQN,101,62,historical,7876439.413576059,3,-7876439.413576059
30000063,Mean DQN,101,63,historical,9753753.159730611,3,-9753753.159730611
30000064,Mean DQN,101,64,historical,5616943.572896274,3,-5616943.572896274
30000065,Mean DQN,101,65,historical,7912934.289895538,3,-7912934.289895538
30000066,Mean DQN,101,66,historical,4260181.50798012,3,-4260181.50798012
30000067,Mean DQN,101,67,historical,9108378.579395082,3,-9108378.579395082
30000068,Mean DQN,101,68,historical,6441934.65174622,3,-6441934.65174622
30000069,Mean DQN,101,69,historical,7675949.762355378,3,-7675949.762355378
30000070,Mean DQN,101,70,historical,-1053272.9569954677,3,1053272.9569954677
30000071,Mean DQN,101,71,historical,6857852.059622798,3,-6857852.059622798
30000072,Mean DQN,101,72,historical,4546068.255787241,3,-4546068.255787241
30000073,Mean DQN,101,73,historical,9947996.650369776,3,-9947996.650369776
30000074,Mean DQN,101,74,historical,7949406.66477157,3,-7949406.66477157
30000075,Mean DQN,101,75,historical,4061072.650042963,3,-4061072.650042963
30000076,Mean DQN,101,76,historical,4923722.471138386,3,-4923722.471138386
30000077,Mean DQN,101,77,historical,6438583.17949111,3,-6438583.17949111
30000078,Mean DQN,101,78,historical,7615630.52286257,3,-7615630.52286257
30000079,Mean DQN,101,79,historical,7832461.395590808,3,-7832461.395590808
30000080,Mean DQN,101,80,historical,6697881.71114403,3,-6697881.71114403
30000081,Mean DQN,101,81,historical,8815313.45922823,3,-8815313.45922823
30000082,Mean DQN,101,82,historical,11358377.678737933,3,-11358377.678737933
30000083,Mean DQN,101,83,historical,5027409.330584912,3,-5027409.330584912
30000084,Mean DQN,101,84,historical,5366234.406693194,3,-5366234.406693194
30000085,Mean DQN,101,85,historical,7720009.725333773,3,-7720009.725333773
30000086,Mean DQN,101,86,historical,11508913.14258873,3,-11508913.14258873
30000087,Mean DQN,101,87,historical,1986370.3784420027,3,-1986370.3784420027
30000088,Mean DQN,101,88,historical,7512819.413795614,3,-7512819.413795614
30000089,Mean DQN,101,89,historical,2698492.4415774643,3,-2698492.4415774643
30000090,Mean DQN,101,90,historical,3742546.3899122337,3,-3742546.3899122337
