code_commune,rga_hazard,flood_hazard,exposure_proxy,mhat,qhat_0.99,tail_mean_ratio
01170,0.7507688770084218,0.3529504756977379,1048.0,258.61815358221895,934.6592481870964,3.6140511995804383
01171,0.32962547785346785,0.3529504756977379,852.0,210.59179968428637,636.3252511455904,3.0216050772136063
01173,0.32962547785346785,0.3529504756977379,13627.0,213.34471019930967,651.6561339543849,3.0544752356203184
01174,0.32962547785346785,0.3529504756977379,174.0,167.61145692618894,442.7849524348569,2.6417344050045823
01175,0.7507688770084218,0.3529504756977379,815.0,250.21119056509988,884.4670194678439,3.5348819430109524
01177,0.7507688770084218,0.3529504756977379,183.0,215.0587582173122,712.3215948586212,3.31221848746488
01179,0.9579057802305194,0.3529504756977379,1910.0,278.97301958804314,1084.4346739720913,3.887238542183993
01180,0.32962547785346785,0.3529504756977379,889.0,202.59532168033286,596.5532574879488,2.944555938114043
01181,0.32962547785346785,0.3529504756977379,1205.0,208.25536439297056,629.2654664067695,3.0216050772136063
01183,0.7507688770084218,0.3529504756977379,1512.0,262.04105206600303,947.0297785584584,3.6140511995804383
01184,0.8895691414446265,0.3529504756977379,748.0,237.92138085960204,841.0239930568389,3.5348819430109524
01185,0.32962547785346785,0.3529504756977379,4857.0,185.363672930067,526.2366953781003,2.8389418868314937
01187,0.32962547785346785,0.3529504756977379,801.0,156.22361242054959,397.2363164980346,2.542741845123166
01188,0.32962547785346785,0.3529504756977379,702.0,179.5022642148531,491.1690478754138,2.736283299956121
01189,0.7507688770084218,0.3529504756977379,1115.0,223.94107484747096,757.5314659576734,3.3827267573563153
01190,0.32962547785346785,0.3529504756977379,95.0,156.74310917466667,398.5572626331338,2.542741845123166
01191,0.32962547785346785,0.3529504756977379,162.0,161.67094447384852,427.0916963061511,2.6417344050045823
01192,0.32962547785346785,0.3529504756977379,2299.0,201.26068985342786,592.6233594168398,2.944555938114043
01193,0.32962547785346785,0.3529504756977379,225.0,176.3413725070276,482.51995268232105,2.736283299956121
01194,0.8895691414446265,0.3529504756977379,6247.0,286.06834877507816,1101.7448110959976,3.8513341857412082
01195,0.9967089189732977,0.3529504756977379,1917.0,279.5674248120064,1086.7452688683568,3.8872385421839932
01196,0.9866775890316462,0.3529504756977379,1261.0,271.8227025023629,1046.8800666079128,3.851334185741209
01197,0.8895691414446265,0.3529504756977379,387.0,272.96423075134896,1027.4961572674679,3.764215386167003
01198,0.32962547785346785,0.3529504756977379,262.0,165.079578900477,436.0964031450586,2.6417344050045823
01199,0.7507688770084218,0.3529504756977379,2260.0,253.40297686289756,915.811332508609,3.6140511995804383
01200,0.32962547785346785,0.3529504756977379,204.0,171.68509207787918,469.7790503041297,2.736283299956121
01202,0.7507688770084218,0.8085280676036906,7411.0,305.38560282368286,1212.8638546816721,3.9715816445411476
01203,0.7507688770084218,0.3529504756977379,1293.0,250.88669505187838,906.7173612110126,3.6140511995804383
01204,0.32962547785346785,0.3529504756977379,732.0,170.8975895139405,467.62422018975167,2.736283299956121
01206,0.32962547785346785,0.3529504756977379,260.0,182.9644552739785,519.425455878605,2.838941886831494
01207,0.7507688770084218,0.3529504756977379,348.0,205.58348774337742,658.0646915584109,3.2009608299857706
01208,0.32962547785346785,0.3529504756977379,138.0,171.0351842532223,468.0007183770103,2.736283299956121
01209,0.32962547785346785,0.8085280676036906,912.0,230.1663724930058,745.0748205321206,3.2371141468754807
01210,0.32962547785346785,0.3529504756977379,241.0,162.93470848029344,430.4302251617831,2.6417344050045823
01211,0.32962547785346785,0.3529504756977379,1512.0,186.30777898958803,528.9169576160859,2.8389418868314937
01212,0.8895691414446265,0.8085280676036906,726.0,280.2432328140332,1089.3722957809516,3.8872385421839923
01213,0.32962547785346785,0.3529504756977379,1441.0,200.2931928259926,589.7745102995976,2.944555938114043
01214,0.32962547785346785,0.3529504756977379,164.0,166.87453330601667,440.83819595358733,2.6417344050045823
01215,0.32962547785346785,0.3529504756977379,138.0,166.50226222662585,439.85475463517236,2.6417344050045823
01216,0.32962547785346785,0.3529504756977379,886.0,180.3947378490171,507.83159526941375,2.8151131309298374
01219,0.32962547785346785,0.3529504756977379,171.0,162.79052842451114,430.0493397479075,2.6417344050045823
01224,0.32962547785346785,0.3529504756977379,3554.0,206.79605148923164,624.8559991275887,3.0216050772136063
01225,0.7507688770084218,0.3529504756977379,406.0,243.5896796267753,851.7308721706578,3.4965802881126486
01227,0.32962547785346785,0.3529504756977379,651.0,189.72364697620415,538.6144083231773,2.8389418868314937
01228,0.32962547785346785,0.3529504756977379,669.0,190.38901553426683,540.503350992842,2.8389418868314933
01229,0.9579057802305194,0.3529504756977379,1257.0,279.7177313879764,1087.3295463836112,3.887238542183993
01230,0.8895691414446265,0.3529504756977379,331.0,234.2897119804853,828.1864723130543,3.5348819430109524
01231,0.8895691414446265,0.3529504756977379,2018.0,272.8653912071923,1027.1241039345916,3.7642153861670025
01232,0.8895691414446265,0.3529504756977379,2264.0,250.9032814814953,915.0839504533592,3.6471581601089933
01233,0.32962547785346785,0.3529504756977379,137.0,159.65225303425683,421.7588496770935,2.6417344050045823
01234,0.32962547785346785,0.3529504756977379,162.0,185.45320360473477,526.490867760571,2.838941886831494
01235,0.7507688770084218,0.3529504756977379,1185.0,238.8769359782494,835.2523856262941,3.4965802881126486
01236,0.8895691414446265,0.3529504756977379,1039.0,250.97901606923762,915.3601664730461,3.6471581601089933
01237,0.32962547785346785,0.3529504756977379,1664.0,203.61285404415023,599.5494384520505,2.944555938114043
01238,0.9579057802305194,0.3529504756977379,2843.0,295.1731528038768,1172.3042756372165,3.9715816445411476
01239,0.32962547785346785,0.3529504756977379,650.0,194.2291551493043,566.9020176046703,2.9187277119590607
01240,0.32962547785346785,0.3529504756977379,623.0,176.01702786086412,481.6324538435938,2.736283299956121
01241,0.9579057802305194,0.3529504756977379,1426.0,268.67986564188595,1034.7759515669502,3.8513341857412087
01242,0.32962547785346785,0.3529504756977379,129.0,183.05466866031927,519.6815664398407,2.8389418868314937
01243,0.9579057802305194,0.3529504756977379,1338.0,286.81303982179367,1139.1014043712848,3.971581644541147
01244,0.9579057802305194,0.3529504756977379,8247.0,293.79262131827795,1166.821382129301,3.971581644541147
01245,0.8895691414446265,0.3529504756977379,938.0,241.77468123601312,873.7860767491914,3.6140511995804383
01246,0.7507688770084218,0.3529504756977379,2172.0,249.22641360426235,880.9859491710862,3.5348819430109524
01247,0.32962547785346785,0.3529504756977379,299.0,162.8822646001666,430.29168235932,2.6417344050045823
01248,0.32962547785346785,0.3529504756977379,2294.0,202.0782990981633,595.0308555734824,2.9445559381140427
